ID,Critère commun,Thème,Nb critères rattachés
cc-responsabilidad-y-compromiso-gerencial,Responsabilidad Y  Compromiso Gerencial,Gouvernance,5
cc-inspeccion-y-auditoria-interna,Inspección Y Auditoría Interna,Gouvernance,1
cc-atencion-a-no-conformidades-quejas-y-reclamos,"Atención A No Conformidades, Quejas Y Reclamos",Gouvernance,2
cc-lucha-contra-el-soborno,Lucha Contra El Soborno,Gouvernance,5
cc-trabajo-voluntario,Trabajo Voluntario,Droit du travail,1
cc-horas-de-trabajo,Horas De Trabajo,Droit du travail,3
cc-no-trabajo-infantil,No Trabajo Infantil,Droit du travail,1
cc-no-discriminacion-ni-maltrato,No Discriminación Ni Maltrato,Droit du travail,1
cc-libertad-de-asociacion-y-negociacion-colectiva,Libertad De Asociación Y Negociación Colectiva,Droit du travail,1
cc-practicas-laborales,Prácticas Laborales,Droit du travail,7
cc-remuneracion-y-salarios,Remuneración Y Salarios,Droit du travail,4
cc-subcontratacion,Subcontratación,Droit du travail,5
cc-formacion-y-entrenamiento,Formación Y Entrenamiento,Formation & bien-être,1
cc-bienestar,Bienestar,Formation & bien-être,6
cc-politica-y-objetivos-de-seguridad-y-salud-en-el-,Política Y Objetivos De Seguridad Y Salud En El Trabajo,Santé-sécurité,3
cc-organizacion-del-sistema-de-seguridad-y-salud-en,Organización Del Sistema De Seguridad Y Salud En El Trabajo,Santé-sécurité,2
cc-evaluacion-de-las-condiciones-de-salud-y-trabajo,Evaluación De Las Condiciones De Salud Y Trabajo,Santé-sécurité,4
cc-programa-de-formacion-entrenamiento-induccion-y-,"Programa De Formación, Entrenamiento, Inducción Y Reinducción En Sst.",Santé-sécurité,1
cc-medicina-preventiva-y-del-trabajo,Medicina Preventiva Y Del Trabajo,Santé-sécurité,3
cc-implementacion-del-sistema-de-gestion-de-segurid,Implementación Del Sistema De Gestión De Seguridad Y Salud En El Trabajo (Sg-Sst),Santé-sécurité,13
cc-reporte-e-investigacion-de-incidentes-accidentes,"Reporte E Investigación De Incidentes, Accidentes De Trabajo Y Enfermedades Laborales",Santé-sécurité,3
cc-criterios-para-adquisicion-de-bienes-o-contratac,Criterios Para Adquisición De Bienes O Contratación De Servicios Con Las Disposiciones Del Sg-Sst,Santé-sécurité,2
cc-medicion-y-evaluacion-de-la-gestion-en-sst,Medición Y Evaluación De La Gestión En Sst,Santé-sécurité,2
cc-uso-eficiente-y-ahorro-de-agua,Uso Eficiente Y Ahorro De Agua,Eau,11
cc-calidad-del-agua,Calidad Del Agua,Eau,4
cc-uso-de-sustratos,Uso De Sustratos,Sols & fertilisation,4
cc-manejo-del-suelo,Manejo Del Suelo,Sols & fertilisation,7
cc-monitoreo-de-las-necesidades-nutricionales,Monitoreo De Las Necesidades Nutricionales,Sols & fertilisation,2
cc-programas-y-registros-de-aplicacion-de-fertiliza,Programas Y Registros De Aplicación De Fertilizantes,Sols & fertilisation,2
cc-manejo-seguro-de-fertilizantes,Manejo Seguro De Fertilizantes,Sols & fertilisation,7
cc-manejo-integrado-de-plagas-mip,Manejo Integrado De Plagas (Mip),Phytosanitaire,7
cc-control-fitosanitario,Control Fitosanitario,Phytosanitaire,7
cc-programas-y-registros-de-aplicacion-de-plaguicid,Programas Y Registros De Aplicación De Plaguicidas,Phytosanitaire,3
cc-minimizacion-del-riesgo-quimico-por-plaguicidas-,Minimización Del Riesgo Químico Por Plaguicidas Y Bioinsumos,Phytosanitaire,7
cc-instalaciones-equipos-y-practicas-adecuadas-para,"Instalaciones, Equipos Y Prácticas Adecuadas Para El Manejo Seguro De Plaguicidas",Phytosanitaire,11
cc-prevencion-y-minimizacion,Prevención Y Minimización,Déchets,7
cc-reutilizacion-y-reciclaje,Reutilización Y Reciclaje,Déchets,3
cc-tratamiento-y-disposicion-final,Tratamiento Y Disposición Final,Déchets,7
cc-desarrollo-de-la-actividad-en-sitios-permitidos,Desarrollo De La Actividad En Sitios Permitidos,Biodiversité,3
cc-manejo-de-la-unidad-de-produccion,Manejo De La Unidad De Producción,Biodiversité,6
cc-paisajismo-biodiversidad-y-conservacion,"Paisajismo, Biodiversidad Y Conservación",Biodiversité,9
cc-eficiencia-energetica,Eficiencia Energética,Énergie & carbone,3
cc-mantenimiento,Mantenimiento,Énergie & carbone,3
cc-emisiones-de-gases-de-efecto-de-invernadero-gei,Emisiones De Gases De Efecto De Invernadero (Gei),Énergie & carbone,3
cc-chap11,11. Origen Del Material Vegetal,Origine matériel végétal,12
cc-procedimientos-poscosecha,Procedimientos Poscosecha,Qualité post-récolte,3
cc-tratamientos-poscosecha,Tratamientos Poscosecha,Qualité post-récolte,4
cc-calidad-del-producto,Calidad Del Producto,Qualité post-récolte,4
cc-calidad-del-agua-utilizada-en-poscosecha,Calidad Del Agua Utilizada En Poscosecha,Qualité post-récolte,4
cc-chap13,13. Trazabilidad Y Registros,Traçabilité,4
cc-chap14,14. Estado Y Uso De La Marca De Conformidad Florverde Sustainable Flowers,Gouvernance,2
