Référence,Critère,Référentiel,Thème,Niveau,Critère commun
1.1,"¿Existe un espacio de participación del equipo directivo, conformado oficialmente para el seguimiento a la implementación de los aspectos sociales y ambientales?",Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),Responsabilidad Y  Compromiso Gerencial
1.2,"¿Se cuenta con una política socioambiental vigente, escrita, divulgada y entendida?",Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),Responsabilidad Y  Compromiso Gerencial
1.3,¿Se cuenta con objetivos y metas socioambientales?,Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),Responsabilidad Y  Compromiso Gerencial
1.4,¿Se cuenta con un plan de acción socioambiental escrito para cumplir con los objetivos y metas?,Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),Responsabilidad Y  Compromiso Gerencial
1.5,¿Se realiza revisión de los aspectos sociales y ambientales por parte de la gerencia?,Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),Responsabilidad Y  Compromiso Gerencial
1.6,¿Se ha realizado inspección/auditoría interna para asegurar el cumplimiento de la normativa Florverde?,Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),Inspección Y Auditoría Interna
1.7,¿Se han tomado medidas para corregir los hallazgos encontrados durante la inspección/auditoría  interna o externa?,Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),"Atención A No Conformidades, Quejas Y Reclamos"
1.8,¿Se cuenta con un mecanismo para atender las quejas de los trabajadores y de las partes interesadas?,Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),"Atención A No Conformidades, Quejas Y Reclamos"
1.9,¿No se ofrecen o aceptan sobornos?,Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),Lucha Contra El Soborno
1.10,¿Se cuenta con controles internos para prevenir y detectar sobornos?,Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),Lucha Contra El Soborno
1.11,¿Se divulga los controles y las medidas para prevenir y detectar sobornos?,Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),Lucha Contra El Soborno
1.12,¿Se realiza aportes legítimos a candidatos a cargos públicos o partidos políticos?,Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),Lucha Contra El Soborno
1.13,¿La información no se falsifica?,Florverde Sustainable Flowers (FSF),Gouvernance,Niveau 1 (majeur),Lucha Contra El Soborno
2.1,¿Está prohibido el trabajo forzoso?,Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),Trabajo Voluntario
2.2,¿La jornada de trabajo cumple con la legislación laboral vigente y aplicable?,Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),Horas De Trabajo
2.3,¿Se cumple con el tiempo máximo de doce (12) horas extras semanales por trabajador y se tiene la autorización legal para hacerlo?,Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 2,Horas De Trabajo
2.4,"¿Se otorgan a los trabajadores los descansos de acuerdo con la legislación laboral nacional
vigente?",Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),Horas De Trabajo
2.5,¿Todos los trabajadores son mayores de 18 años?,Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),No Trabajo Infantil
2.6,"¿No se tienen prácticas de maltrato, persecución, discriminación, entorpecimiento, inequidad ni desprotección laboral, hacia los trabajadores?",Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),No Discriminación Ni Maltrato
2.7,"¿Se respeta el derecho de participación, libre asociación y de negociación colectiva de los trabajadores?",Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),Libertad De Asociación Y Negociación Colectiva
2.8,¿Se tiene reglamento interno de trabajo  publicado?,Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),Prácticas Laborales
2.9,¿Los trabajadores cuentan con contrato laboral escrito?,Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),Prácticas Laborales
2.10,¿Se llevan a cabo procedimientos para el manejo disciplinario?,Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),Prácticas Laborales
2.11,¿Se formaliza la finalización de la relación laboral de acuerdo con lo establecido por las normas vigentes y aplicables?,Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),Prácticas Laborales
2.12,¿Se realiza entrevista de retiro a los trabajadores?,Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 2,Prácticas Laborales
2.13,¿Se mantienen actualizadas y archivadas las hojas de vida de los trabajadores?,Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),Prácticas Laborales
2.14,"En caso de vinculación de aprendices, ¿se cumple con  lo establecido en la  legislación aplicable y vigente?",Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),Prácticas Laborales
2.15,¿Se pagan de forma correcta y oportuna los salarios y las prestaciones sociales?,Florverde Sustainable Flowers (FSF),Droit du travail,Niveau 1 (majeur),Remuneración Y Salarios
